,open,high,close,low
2018-02-27,23.53,25.88,24.16,23.53
2018-02-26,22.8,23.78,23.53,22.8
2018-02-23,22.88,23.37,22.82,22.71
2018-02-22,22.25,22.76,22.28,22.02
2018-02-14,21.49,21.99,21.92,21.48
2018-02-13,21.4,21.9,21.48,21.31
2018-02-12,20.7,21.4,21.19,20.63
2018-02-09,21.2,21.46,20.36,20.19
2018-02-08,21.79,22.09,21.88,21.75
2018-02-07,22.69,23.11,21.8,21.29
2018-02-06,22.8,23.55,22.29,22.2
2018-02-05,22.45,23.39,23.27,22.25
2018-02-02,22.4,22.7,22.62,21.53
2018-02-01,23.71,23.86,22.42,22.22
2018-01-31,23.85,23.98,23.72,23.31
2018-01-30,23.71,24.08,23.83,23.7
2018-01-29,24.4,24.63,23.77,23.72
2018-01-26,24.27,24.74,24.49,24.22
2018-01-25,24.99,24.99,24.37,24.23
2018-01-24,25.49,26.28,25.29,25.2
2018-01-23,25.15,25.53,25.5,24.93
2018-01-22,25.14,25.4,25.13,24.75
2018-01-19,24.6,25.34,25.13,24.42
2018-01-18,24.4,24.88,24.6,24.3
2018-01-17,24.42,24.92,24.6,23.8
2018-01-16,23.4,24.6,24.4,23.3
2018-01-15,24.01,24.23,23.43,23.3
2018-01-12,23.7,25.15,24.24,23.42
2018-01-11,23.67,23.85,23.67,23.21
2018-01-10,24.1,24.6,23.8,23.4
2018-01-09,24.6,24.78,23.96,23.82
2018-01-08,24.12,24.95,24.71,24.01
2018-01-05,24.0,25.4,24.51,23.7
2018-01-04,22.79,25.07,25.07,22.51
2018-01-03,22.42,22.83,22.79,22.18
2018-01-02,22.3,22.54,22.42,22.05
2017-12-29,22.34,22.46,22.31,22.02
2017-12-28,22.23,22.84,22.24,22.12
2017-12-27,22.25,22.57,22.13,21.8
2017-12-26,21.73,22.66,22.23,21.73
2017-12-25,22.81,22.93,21.51,21.11
2017-12-22,23.21,23.39,22.99,22.9
2017-12-21,23.39,23.5,23.21,22.86
2017-12-20,23.61,23.96,23.33,23.2
2017-12-19,23.23,23.66,23.46,23.23
2017-12-18,23.0,23.49,23.13,22.83
2017-12-15,23.4,23.4,23.0,22.85
2017-12-14,23.65,23.77,23.47,23.22
2017-12-13,23.99,24.38,23.81,23.6
2017-12-12,22.61,24.14,23.98,22.61
2017-12-11,22.61,22.94,22.75,22.5
2017-12-08,22.4,22.9,22.61,22.04
2017-12-07,21.98,22.48,22.26,21.92
2017-12-06,21.66,22.1,22.06,21.51
2017-12-05,22.91,23.26,21.7,21.65
2017-12-04,23.91,24.15,22.92,22.85
2017-12-01,24.04,24.49,24.18,24.04
2017-11-30,24.37,24.76,24.25,24.05
2017-11-29,24.66,24.8,24.29,23.96
2017-11-28,24.01,24.9,24.7,24.0
2017-11-27,24.4,24.95,24.21,24.01
2017-11-24,24.1,24.7,24.45,24.09
2017-11-23,25.3,25.43,24.03,23.98
2017-11-22,25.21,25.9,25.26,24.84
2017-11-21,24.6,25.98,25.28,24.56
2017-11-20,25.55,25.58,25.09,23.46
2017-11-17,28.0,28.15,26.08,25.91
2017-11-16,28.1,28.72,28.17,28.0
2017-11-15,29.3,29.3,28.46,28.3
2017-11-14,28.0,29.89,29.34,27.68
2017-11-13,28.61,29.23,28.25,28.09
2017-11-10,28.78,28.99,28.09,27.88
2017-11-09,28.88,29.09,28.37,27.76
2017-11-08,28.8,29.7,29.04,28.11
2017-11-07,28.6,29.37,28.98,28.42
2017-11-06,28.67,28.74,28.18,27.76
2017-11-03,28.86,29.62,28.15,28.03
2017-11-02,31.8,31.8,30.45,30.45
2017-11-01,33.85,34.34,33.83,33.1
2017-10-31,32.62,35.22,34.44,32.2
2017-10-30,32.56,34.4,32.06,31.85
2017-10-27,31.45,33.2,33.11,31.45
2017-10-26,29.3,32.7,32.41,28.92
2017-10-25,27.86,30.45,29.73,27.54
2017-10-24,28.2,28.75,28.05,27.22
2017-10-23,29.0,31.16,29.79,28.9
2017-10-20,29.2,29.83,28.33,27.85
2017-10-19,25.61,27.2,27.16,25.61
2017-10-18,25.63,26.41,25.69,25.5
2017-10-17,25.3,25.88,25.43,25.23
2017-10-16,26.4,26.48,25.19,25.03
2017-10-13,26.26,26.54,26.35,26.14
2017-10-12,26.28,26.51,26.26,25.92
2017-10-11,27.26,27.37,26.31,26.02
2017-10-10,27.12,27.49,27.12,26.75
2017-10-09,27.8,28.22,27.35,27.0
2017-09-29,27.49,27.88,27.79,27.04
2017-09-28,27.58,28.1,27.28,27.11
2017-09-27,26.52,29.01,28.26,26.52
2017-09-26,24.87,26.66,26.52,24.85
2017-09-25,25.78,26.16,24.91,24.67
2017-09-22,27.0,27.18,26.18,25.87
2017-09-21,26.03,28.48,27.73,25.7
2017-09-20,25.66,26.08,25.89,25.35
2017-09-19,25.95,26.52,25.74,25.53
2017-09-18,26.66,26.66,25.95,25.53
2017-09-15,26.58,27.76,26.89,26.33
2017-09-14,26.7,27.1,26.73,26.42
2017-09-13,27.2,27.85,26.95,26.66
2017-09-12,27.18,28.55,27.46,26.31
2017-09-11,26.9,27.55,27.09,26.56
2017-09-08,25.5,27.47,26.93,25.32
2017-09-07,24.41,26.9,25.57,24.2
2017-09-06,23.51,24.88,24.51,23.38
2017-09-05,23.76,24.32,23.95,23.31
2017-09-04,24.45,24.45,23.76,23.3
2017-09-01,25.33,25.5,25.04,24.78
2017-08-31,24.16,25.88,25.62,23.78
2017-08-30,23.25,24.6,24.15,23.21
2017-08-29,23.45,23.85,23.06,23.04
2017-08-28,23.45,23.7,23.5,23.05
2017-08-25,22.5,23.6,23.37,22.5
2017-08-24,22.87,23.25,22.62,22.47
2017-08-23,23.9,24.06,23.07,22.85
2017-08-22,22.55,24.98,24.35,22.38
2017-08-21,22.6,22.88,22.71,22.14
2017-08-18,21.75,22.98,22.4,21.51
2017-08-17,21.8,22.05,21.88,21.65
2017-08-16,21.37,22.07,21.89,21.35
2017-08-15,21.52,21.68,21.44,21.34
2017-08-14,21.1,21.56,21.5,20.93
2017-08-11,21.85,22.09,21.23,21.1
2017-08-10,21.45,22.2,22.05,21.36
2017-08-09,21.62,21.62,21.4,21.23
2017-08-08,21.62,21.8,21.66,21.49
2017-08-07,21.6,21.97,21.69,21.49
2017-08-04,22.1,22.27,21.49,21.44
2017-08-03,22.18,22.46,22.28,21.99
2017-08-02,22.13,22.49,21.89,21.86
2017-08-01,22.65,23.18,22.38,22.3
2017-07-31,22.78,22.9,22.79,21.84
2017-07-28,22.6,23.36,23.01,22.5
2017-07-27,23.39,23.39,22.76,22.63
2017-07-26,23.53,23.92,23.4,22.85
2017-07-25,23.07,24.2,23.7,22.64
2017-07-24,22.8,23.79,23.03,22.63
2017-07-21,22.75,23.98,23.2,22.75
2017-07-20,22.52,23.1,22.67,22.36
2017-07-19,21.14,22.86,22.61,20.86
2017-07-18,20.63,21.58,21.26,20.63
2017-07-17,22.64,22.66,20.97,20.58
2017-07-14,23.28,24.29,22.87,22.8
2017-07-13,23.6,23.6,23.47,22.81
2017-07-12,22.26,23.95,23.81,22.26
2017-07-11,22.99,24.0,22.23,21.85
2017-07-10,21.11,23.44,23.13,21.06
2017-07-07,20.8,21.44,21.31,20.65
2017-07-06,20.86,21.19,20.98,20.69
2017-07-05,20.59,21.14,21.01,20.51
2017-07-04,21.97,21.99,20.78,20.75
2017-07-03,21.59,22.14,21.98,21.37
2017-06-30,21.6,21.74,21.56,21.13
2017-06-29,21.78,21.94,21.74,21.47
2017-06-28,22.2,22.37,21.67,21.41
2017-06-27,23.1,23.24,22.2,22.06
2017-06-26,23.3,23.87,23.26,22.57
2017-06-23,24.0,24.47,23.34,23.34
2017-06-22,23.32,25.93,25.93,23.26
2017-06-21,23.0,23.84,23.57,22.9
2017-06-20,23.75,24.45,24.08,22.22
2017-06-19,21.0,22.85,22.5,20.94
2017-06-16,20.41,21.78,20.8,20.41
2017-06-15,19.33,20.35,20.21,19.33
2017-06-14,19.31,19.91,19.3,19.11
2017-06-13,18.25,19.35,19.12,18.25
2017-06-12,18.8,18.8,18.14,18.1
2017-06-09,19.2,19.2,19.07,18.6
2017-06-08,19.35,19.5,19.0,18.93
2017-06-07,18.59,19.44,19.3,18.59
2017-06-06,18.74,18.8,18.55,18.4
2017-06-05,18.16,18.94,18.69,18.14
2017-06-02,18.15,18.19,18.18,17.65
2017-06-01,17.9,18.24,17.94,17.73
2017-05-31,17.85,18.25,17.91,17.8
2017-05-26,17.1,17.95,17.77,17.0
2017-05-25,16.95,17.15,16.99,16.84
2017-05-24,17.2,17.41,16.82,16.72
2017-05-23,17.75,17.99,17.41,17.36
2017-05-22,17.85,18.06,17.74,17.69
2017-05-19,17.81,18.07,17.85,17.8
2017-05-18,17.8,18.09,17.8,17.75
2017-05-17,17.87,18.29,17.93,17.75
2017-05-16,17.5,17.71,17.7,17.18
2017-05-15,17.3,17.76,17.51,17.3
2017-05-12,17.85,17.97,17.6,17.13
2017-05-11,18.35,18.35,17.92,17.51
2017-05-10,18.63,18.8,18.32,18.27
2017-05-09,18.53,18.83,18.72,18.48
2017-05-08,18.58,18.85,18.52,18.45
2017-05-05,19.1,19.24,18.64,18.5
2017-05-04,19.31,19.35,19.11,19.01
2017-05-03,19.28,19.65,19.35,19.11
2017-05-02,19.2,19.76,19.38,19.1
2017-04-28,18.87,19.5,19.45,18.75
2017-04-27,18.9,18.92,18.74,18.26
2017-04-26,18.85,19.0,18.8,18.55
2017-04-25,18.88,19.05,18.75,18.7
2017-04-24,19.58,19.58,18.72,18.7
2017-04-21,19.49,19.74,19.63,19.38
2017-04-20,20.07,20.16,19.5,19.21
2017-04-19,21.3,21.53,20.23,20.0
2017-04-18,20.61,21.78,21.47,20.52
2017-04-17,20.67,21.54,20.84,20.43
2017-04-14,21.21,21.42,20.66,20.51
2017-04-13,21.3,21.8,21.43,21.02
2017-04-12,20.26,22.66,21.41,20.26
2017-04-11,20.36,20.86,20.66,20.03
2017-04-10,21.3,21.4,20.73,19.72
2017-04-07,20.81,22.36,21.91,20.81
2017-04-06,21.0,21.26,20.81,20.65
2017-04-05,19.73,21.58,20.99,19.73
2017-03-31,19.9,19.96,19.68,19.61
2017-03-30,19.68,20.17,19.91,19.63
2017-03-29,19.8,19.94,19.67,19.56
2017-03-28,19.78,19.84,19.7,19.54
2017-03-27,19.91,20.27,19.76,19.64
2017-03-24,19.5,20.17,19.96,19.35
2017-03-23,19.88,20.16,19.5,19.28
2017-03-22,20.19,20.24,19.89,19.88
2017-03-21,20.47,20.55,20.34,20.18
2017-03-20,20.4,20.62,20.48,20.21
2017-03-17,20.6,20.78,20.42,20.32
2017-03-16,20.6,20.78,20.57,20.5
2017-03-15,20.8,20.87,20.58,20.57
2017-03-14,20.52,21.2,20.89,20.52
2017-03-13,20.92,20.99,20.78,20.0
2017-03-10,20.96,21.29,21.11,20.89
2017-03-09,21.17,21.19,20.93,20.84
2017-03-08,21.3,21.38,21.1,21.02
2017-03-07,21.88,21.94,21.41,21.3
2017-03-06,22.13,22.2,21.98,21.75
2017-03-03,21.79,22.44,21.94,21.68
2017-03-02,22.0,22.08,21.79,21.71
2017-03-01,21.61,22.48,22.08,21.61
2017-02-28,21.52,21.87,21.63,21.52
2017-02-27,21.82,21.93,21.53,21.5
2017-02-24,22.08,22.18,21.93,21.61
2017-02-23,20.99,22.82,22.22,20.89
2017-02-22,21.35,21.39,20.88,20.73
2017-02-21,21.7,21.7,21.33,21.22
2017-02-20,21.46,21.8,21.59,21.3
2017-02-17,22.17,22.26,21.59,21.42
2017-02-16,21.57,22.38,22.35,21.5
2017-02-15,21.5,22.29,21.78,21.3
2017-02-14,20.75,21.49,21.23,20.7
2017-02-13,20.38,20.98,20.79,20.27
2017-02-10,20.72,20.81,20.45,20.42
2017-02-09,20.52,20.82,20.67,20.42
2017-02-08,20.55,21.1,20.65,20.3
2017-02-07,19.97,21.2,20.89,19.68
2017-02-06,19.35,21.09,20.45,19.35
2017-02-03,19.13,19.28,19.17,18.81
2017-01-26,19.3,19.37,19.19,19.09
2017-01-25,19.15,19.24,19.16,19.07
2017-01-24,19.29,19.44,19.11,19.01
2017-01-23,19.11,19.36,19.15,19.06
2017-01-20,18.63,19.2,19.12,18.56
2017-01-19,18.67,18.88,18.63,18.48
2017-01-18,18.65,18.99,18.65,18.48
2017-01-17,18.51,18.88,18.65,18.0
2017-01-16,19.95,19.95,18.47,17.96
2017-01-13,20.26,20.49,19.96,19.82
2017-01-12,20.05,20.83,20.4,20.05
2017-01-11,20.31,20.34,20.05,20.02
2017-01-10,20.22,20.45,20.2,20.06
2017-01-09,20.38,20.56,20.4,19.75
2017-01-06,20.0,20.5,20.19,19.97
2017-01-05,19.78,20.4,20.06,19.47
2017-01-04,19.44,19.96,19.77,19.39
2017-01-03,19.4,19.68,19.48,19.3
2016-12-30,19.6,19.99,19.35,19.31
2016-12-29,19.38,20.43,19.84,19.15
2016-12-28,19.59,19.73,19.41,19.37
2016-12-27,19.68,19.87,19.51,19.46
2016-12-26,19.81,19.9,19.89,19.0
2016-12-23,20.46,20.48,19.84,19.7
2016-12-22,18.5,20.42,20.42,18.45
2016-12-21,18.49,18.62,18.56,18.2
2016-12-20,18.45,18.48,18.38,18.2
2016-12-19,18.5,18.68,18.53,18.35
2016-12-16,18.53,18.85,18.48,18.45
2016-12-15,17.98,18.86,18.48,17.88
2016-12-14,18.11,18.5,18.04,17.55
2016-12-13,19.04,19.15,18.44,17.18
2016-12-12,19.48,19.92,19.02,18.98
2016-12-09,20.91,20.99,19.4,19.37
2016-12-08,21.3,21.39,20.91,20.85
2016-12-07,21.14,21.32,21.3,20.82
2016-12-06,21.18,21.38,20.98,20.85
2016-12-05,20.85,21.38,21.2,20.82
2016-12-02,21.58,21.59,21.07,20.75
2016-12-01,21.5,21.7,21.48,21.17
2016-11-30,22.21,22.37,21.48,21.14
2016-11-29,25.0,25.1,22.87,22.87
2016-11-16,24.5,25.52,25.4,24.5
2016-11-15,24.36,24.98,24.65,24.15
2016-11-14,25.22,25.23,24.36,24.15
2016-11-11,24.9,25.3,25.11,24.5
2016-11-10,24.48,25.4,24.96,24.23
2016-11-09,24.4,24.79,24.44,23.63
2016-11-08,23.17,24.5,24.46,22.95
2016-11-07,23.11,23.39,23.06,22.84
2016-11-04,23.17,23.65,23.3,22.8
2016-11-03,23.16,23.51,23.2,22.65
2016-11-02,23.8,23.99,23.1,23.0
2016-11-01,24.1,24.6,23.9,23.63
2016-10-31,23.78,24.75,24.27,23.51
2016-10-28,24.1,24.2,23.89,23.05
2016-10-27,23.89,24.28,24.02,23.89
2016-10-26,23.25,24.56,24.1,22.8
